구별,CCTV댓수,최근증가율,인구수,내국인,외국인,고령자,외국인비율,고령자비율,cctv비율,오차
종로구,1772,20.49,155106,146029,9077,27605,5.85,17.8,1.14,397.66
중구,2333,78.98,132259,123016,9243,23980,6.99,18.13,1.76,251.33
용산구,2383,78.64,240665,226378,14287,38884,5.94,16.16,0.99,116.16
성동구,3602,46.13,295767,289162,6605,45591,2.23,15.41,1.22,890.63
광진구,2588,112.29,355306,342481,12825,50815,3.61,14.3,0.73,352.67
동대문구,2497,34.85,352259,338040,14219,61262,4.04,17.39,0.71,431.93
중랑구,3296,191.07,394679,389972,4707,70172,1.19,17.78,0.84,203.7
성북구,3958,94.53,443206,433658,9548,73568,2.15,16.6,0.89,678.81
강북구,2462,446.95,306093,302645,3448,63383,1.13,20.71,0.8,289.14
도봉구,1629,82.82,322419,320365,2054,62894,0.64,19.51,0.51,1185.01
노원구,2415,66.38,520005,515997,4008,86697,0.77,16.67,0.46,1159.96
은평구,3791,117.86,479409,475371,4038,85921,0.84,17.92,0.79,372.39
서대문구,2940,49.8,317699,307070,10629,53627,3.35,16.88,0.93,144.16
마포구,2421,89.95,379984,370132,9852,53891,2.59,14.18,0.64,614.71
양천구,3312,28.72,454288,450992,3296,66942,0.73,14.74,0.73,9.87
강서구,2560,78.53,582995,577519,5476,90404,0.94,15.51,0.44,1257.54
구로구,4075,48.83,424582,399266,25316,71186,5.96,16.77,0.96,867.54
금천구,2374,149.47,244685,230168,14517,40181,5.93,16.42,0.97,140.65
영등포구,3778,105.39,402375,377421,24954,61571,6.2,15.3,0.94,656.06
동작구,2297,83.61,397231,387847,9384,65732,2.36,16.55,0.58,805.13
관악구,4942,49.91,502698,488800,13898,78647,2.76,15.64,0.98,1433.7
서초구,3704,48.34,422174,418407,3767,60395,0.89,14.31,0.88,505.81
강남구,6502,61.64,536107,531375,4732,76184,0.88,14.21,1.21,2865.03
송파구,2854,203.19,664341,658670,5671,95164,0.85,14.32,0.43,1276.82
강동구,2547,112.25,469094,465209,3885,72275,0.83,15.41,0.54,831.89
